################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	West Coast of Vancouver Island
# Section(s):	230, 231, 232, 233, and 239
# Created:	2020-01-09
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2019	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0	1	0	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
69	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1981	2	1	1	0	1	2.796
1982	2	1	1	0	1	2.05
1983	2	1	1	0	1	6.141
1984	2	1	1	0	1	5.718
1986	2	1	1	0	1	0.203
1987	2	1	1	0	1	13.463
1988	2	1	1	0	1	5.341
1989	2	1	1	0	1	9.774
1990	2	1	1	0	1	7.89
1991	2	1	1	0	1	4.674
1992	2	1	1	0	1	3.086
1993	2	1	1	0	1	5.612
1994	2	1	1	0	1	5.264
1995	2	1	1	0	1	1.947
1996	2	1	1	0	1	0.345
1997	2	1	1	0	1	6.656
1998	2	1	1	0	1	5.253
1999	2	1	1	0	1	3.172
2000	2	1	1	0	1	0.496
2003	2	1	1	0	1	2.073
1973	3	1	1	0	1	0.228
1974	3	1	1	0	1	1.044
1975	3	1	1	0	1	2.873
1976	3	1	1	0	1	8.859
1977	3	1	1	0	1	2.871
1978	3	1	1	0	1	6.436
1979	3	1	1	0	1	2.192
1981	3	1	1	0	1	0.432
1989	3	1	1	0	1	3.515
1991	3	1	1	0	1	2.336
1992	3	1	1	0	1	0.627
1998	3	1	1	0	1	1.235
#
##### Spawn (t*10^3) #####
2		# Number of survey types
37	32	# Number of years per survey
3	3	# Survey type (1=vuln. number, 2=vuln. biomass, 3=spawn biomass)
# Year	Spawn	Gear	Area	Group	Sex	Weight	Timing
1951	3.47	4	1	1	0	1	1
1952	8.374	4	1	1	0	1	1
1953	10.371	4	1	1	0	1	1
1954	6.036	4	1	1	0	1	1
1955	4.781	4	1	1	0	1	1
1956	11.581	4	1	1	0	1	1
1957	7.671	4	1	1	0	1	1
1958	8.199	4	1	1	0	1	1
1959	1.696	4	1	1	0	1	1
1960	2.924	4	1	1	0	1	1
1961	3.483	4	1	1	0	1	1
1962	20.99	4	1	1	0	1	1
1963	7.188	4	1	1	0	1	1
1964	5.118	4	1	1	0	1	1
1965	2.837	4	1	1	0	1	1
1966	1.12	4	1	1	0	1	1
1967	0.535	4	1	1	0	1	1
1968	4.178	4	1	1	0	1	1
1969	5.841	4	1	1	0	1	1
1970	10.248	4	1	1	0	1	1
1971	17.72	4	1	1	0	1	1
1972	10.544	4	1	1	0	1	1
1973	7.362	4	1	1	0	1	1
1974	8.735	4	1	1	0	1	1
1975	11.714	4	1	1	0	1	1
1976	31.952	4	1	1	0	1	1
1977	36.293	4	1	1	0	1	1
1978	11.466	4	1	1	0	1	1
1979	24.271	4	1	1	0	1	1
1980	19.124	4	1	1	0	1	1
1981	16.359	4	1	1	0	1	1
1982	14.74	4	1	1	0	1	1
1983	8.189	4	1	1	0	1	1
1984	6.859	4	1	1	0	1	1
1985	17.141	4	1	1	0	1	1
1986	28.833	4	1	1	0	1	1
1987	0.009	4	1	1	0	1	1
1988	15.573	5	1	1	0	1.1666	1
1989	24.366	5	1	1	0	1.1666	1
1990	18.691	5	1	1	0	1.1666	1
1991	20.397	5	1	1	0	1.1666	1
1992	15.91	5	1	1	0	1.1666	1
1993	19.79	5	1	1	0	1.1666	1
1994	13.211	5	1	1	0	1.1666	1
1995	11.779	5	1	1	0	1.1666	1
1996	11.499	5	1	1	0	1.1666	1
1997	25.479	5	1	1	0	1.1666	1
1998	10.557	5	1	1	0	1.1666	1
1999	4.453	5	1	1	0	1.1666	1
2000	4.814	5	1	1	0	1.1666	1
2001	2.133	5	1	1	0	1.1666	1
2002	14.982	5	1	1	0	1.1666	1
2003	5.796	5	1	1	0	1.1666	1
2004	6.234	5	1	1	0	1.1666	1
2005	3.979	5	1	1	0	1.1666	1
2006	1.667	5	1	1	0	1.1666	1
2007	1.776	5	1	1	0	1.1666	1
2008	1.855	5	1	1	0	1.1666	1
2009	5.803	5	1	1	0	1.1666	1
2010	1.098	5	1	1	0	1.1666	1
2011	2.582	5	1	1	0	1.1666	1
2012	0.375	5	1	1	0	1.1666	1
2013	4.131	5	1	1	0	1.1666	1
2014	8.792	5	1	1	0	1.1666	1
2015	4.217	5	1	1	0	1.1666	1
2016	11.845	5	1	1	0	1.1666	1
2017	5.273	5	1	1	0	1.1666	1
2018	9.302	5	1	1	0	1.1666	1
2019	3.876	5	1	1	0	1.1666	1
#
##### Number-at-age #####
3			# Number of gears
18	48	11	# Number of years per gear
2	2	2	# Youngest age
10	10	10	# Plus group
100	100	100	# Effective sample size
1	1	1	# Composition (1=age, 2=length)
# Year	Gear	Area	Group	Sex	2	3	4	5	6	7	8	9	10
1951	1	1	1	0	340	1447	1553	247	51	10	1	1	0
1952	1	1	1	0	86	1045	315	125	12	2	0	0	0
1953	1	1	1	0	192	1402	820	49	14	0	0	0	0
1954	1	1	1	0	137	2930	1300	280	25	7	5	1	1
1955	1	1	1	0	422	1490	494	86	16	1	0	0	0
1956	1	1	1	0	546	2757	637	142	23	6	1	0	0
1957	1	1	1	0	16	423	146	2	1	0	0	0	0
1958	1	1	1	0	110	391	177	28	1	0	0	0	0
1959	1	1	1	0	133	1260	519	124	20	3	5	2	0
1960	1	1	1	0	121	240	101	22	3	2	1	0	0
1961	1	1	1	0	221	142	42	13	1	0	0	0	0
1962	1	1	1	0	2	72	19	3	0	0	0	0	0
1963	1	1	1	0	13	168	159	28	1	0	0	0	0
1964	1	1	1	0	26	381	177	72	4	2	0	0	0
1965	1	1	1	0	15	136	165	45	19	1	0	0	0
1966	1	1	1	0	1	76	45	22	1	1	0	0	0
1978	1	1	1	0	20	613	374	169	198	29	13	5	5
1984	1	1	1	0	2	42	10	2	1	3	0	0	0
1972	2	1	1	0	29	119	234	61	12	3	3	0	0
1973	2	1	1	0	16	440	278	257	45	9	5	0	0
1974	2	1	1	0	365	1364	777	332	150	31	3	0	0
1975	2	1	1	0	30	1698	596	301	156	77	13	1	0
1976	2	1	1	0	4	226	1443	511	321	133	41	4	0
1977	2	1	1	0	15	429	1417	1538	485	146	42	3	0
1978	2	1	1	0	10	646	517	542	649	138	36	6	0
1979	2	1	1	0	10	167	682	325	297	214	48	8	2
1980	2	1	1	0	57	653	142	165	77	76	37	8	0
1981	2	1	1	0	138	1221	838	326	342	192	88	20	0
1982	2	1	1	0	120	578	620	456	113	139	71	42	13
1983	2	1	1	0	63	322	396	390	279	76	91	25	26
1984	2	1	1	0	659	915	293	200	210	123	20	22	4
1985	2	1	1	0	462	636	155	28	21	19	13	1	2
1986	2	1	1	0	110	1371	783	304	109	83	63	21	3
1987	2	1	1	0	579	608	1346	669	276	93	48	40	12
1988	2	1	1	0	63	2231	226	346	153	50	14	10	5
1989	2	1	1	0	120	591	2484	238	337	137	30	7	2
1990	2	1	1	0	17	1079	468	1926	194	237	66	10	1
1991	2	1	1	0	175	543	847	393	1403	113	134	22	1
1992	2	1	1	0	63	1857	462	642	284	813	104	54	11
1993	2	1	1	0	163	1235	1874	336	390	215	410	51	31
1994	2	1	1	0	130	620	750	1072	293	209	222	62	9
1995	2	1	1	0	34	552	850	798	1097	298	196	138	32
1996	2	1	1	0	713	953	550	603	447	545	139	46	36
1997	2	1	1	0	112	2811	358	199	240	186	137	26	16
1998	2	1	1	0	72	734	2198	227	101	85	61	39	13
1999	2	1	1	0	58	821	846	1409	286	98	45	29	13
2000	2	1	1	0	213	567	515	389	534	62	17	8	1
2001	2	1	1	0	118	613	200	104	72	100	16	3	3
2002	2	1	1	0	163	1158	470	101	58	41	20	5	1
2003	2	1	1	0	37	1086	1086	430	75	45	25	25	4
2004	2	1	1	0	306	596	649	285	58	10	4	0	0
2005	2	1	1	0	107	790	299	127	50	11	2	0	1
2006	2	1	1	0	126	254	183	31	15	4	0	0	0
2007	2	1	1	0	1	48	31	8	1	0	0	0	0
2008	2	1	1	0	11	101	183	41	7	2	0	0	0
2009	2	1	1	0	22	601	144	146	23	7	0	0	0
2010	2	1	1	0	212	333	590	76	73	11	1	0	0
2011	2	1	1	0	19	283	81	59	9	3	0	0	0
2012	2	1	1	0	8	63	137	34	24	3	3	0	0
2013	2	1	1	0	5	28	13	31	2	3	1	0	0
2014	2	1	1	0	7	144	27	2	2	0	0	1	0
2015	2	1	1	0	96	125	257	41	4	3	3	0	0
2016	2	1	1	0	39	381	113	89	10	1	1	1	0
2017	2	1	1	0	22	49	261	66	33	11	0	1	0
2018	2	1	1	0	52	106	64	157	46	11	1	1	0
2019	2	1	1	0	38	227	41	18	28	8	3	1	0
1973	3	1	1	0	0	49	143	323	84	18	6	1	0
1974	3	1	1	0	0	46	54	46	24	6	0	0	0
1975	3	1	1	0	0	4	65	88	47	14	1	0	0
1976	3	1	1	0	0	0	26	44	24	11	1	0	0
1977	3	1	1	0	0	0	19	28	4	0	0	0	0
1978	3	1	1	0	0	4	13	61	111	33	7	1	0
1979	3	1	1	0	0	0	47	57	56	43	7	2	0
1989	3	1	1	0	0	1	208	42	85	36	6	4	0
1991	3	1	1	0	0	1	25	41	223	28	28	2	1
1992	3	1	1	0	0	35	75	171	77	166	16	14	2
1998	3	1	1	0	0	5	227	56	58	72	67	35	19
#
##### Weight-at-age (kg) #####
1	# Number of weight-at-age tables
69	# Number of years
# Year	Gear	Area	Group	Sex	2	3	4	5	6	7	8	9	10
1951	1	1	1	0	0.0515	0.0875	0.1149	0.1338	0.1516	0.1603	0.205	0.196	0.2376
1952	1	1	1	0	0.0535	0.0896	0.1087	0.1393	0.1612	0.161	0.205	0.196	0.2376
1953	1	1	1	0	0.052	0.0786	0.1001	0.121	0.1454	0.1607	0.205	0.196	0.2376
1954	1	1	1	0	0.0543	0.0863	0.1069	0.1262	0.1483	0.1658	0.155	0.196	0.2376
1955	1	1	1	0	0.0578	0.0831	0.1077	0.1249	0.1514	0.131	0.1925	0.196	0.2376
1956	1	1	1	0	0.0579	0.0861	0.1069	0.1283	0.143	0.144	0.1925	0.196	0.2376
1957	1	1	1	0	0.0551	0.0847	0.1061	0.128	0.1499	0.1525	0.19	0.196	0.2376
1958	1	1	1	0	0.0508	0.0689	0.0967	0.1085	0.133	0.1508	0.187	0.196	0.2376
1959	1	1	1	0	0.0509	0.0818	0.0987	0.1132	0.1364	0.1283	0.1072	0.144	0.2376
1960	1	1	1	0	0.0614	0.092	0.1093	0.1319	0.137	0.133	0.175	0.1856	0.2376
1961	1	1	1	0	0.0593	0.088	0.1237	0.1465	0.173	0.1417	0.1703	0.1835	0.2376
1962	1	1	1	0	0.063	0.099	0.1191	0.137	0.1459	0.1413	0.1659	0.181	0.2376
1963	1	1	1	0	0.0529	0.0779	0.1116	0.1194	0.166	0.139	0.1611	0.178	0.2376
1964	1	1	1	0	0.061	0.093	0.114	0.1395	0.1545	0.13	0.1559	0.1744	0.2376
1965	1	1	1	0	0.0685	0.1034	0.1299	0.1479	0.1756	0.198	0.1656	0.1805	0.2376
1966	1	1	1	0	0.042	0.1143	0.1397	0.146	0.148	0.175	0.1638	0.1795	0.2376
1967	1	1	1	0	0.0575	0.0975	0.1228	0.138	0.158	0.1567	0.1625	0.1787	0.2376
1968	1	1	1	0	0.0564	0.0972	0.1236	0.1382	0.1604	0.1597	0.1618	0.1782	0.2376
1969	1	1	1	0	0.0571	0.1011	0.126	0.1419	0.1593	0.1639	0.1619	0.1783	0.2376
1970	1	1	1	0	0.0563	0.1027	0.1284	0.1424	0.1603	0.1707	0.1631	0.179	0.2376
1971	1	1	1	0	0.0538	0.1026	0.1281	0.1413	0.1572	0.1652	0.1626	0.1788	0.2376
1972	1	1	1	0	0.067	0.1051	0.1392	0.1594	0.1782	0.1933	0.2133	0.1786	0.2376
1973	1	1	1	0	0.0642	0.1043	0.1341	0.1606	0.1842	0.2031	0.196	0.1786	0.2376
1974	1	1	1	0	0.0624	0.0841	0.1233	0.1438	0.1689	0.1807	0.181	0.1787	0.2376
1975	1	1	1	0	0.0567	0.0951	0.1262	0.1646	0.1887	0.2031	0.2238	0.235	0.2376
1976	1	1	1	0	0.0482	0.0886	0.1214	0.1509	0.1775	0.1917	0.212	0.2218	0.2376
1977	1	1	1	0	0.0623	0.093	0.1285	0.1453	0.1694	0.1815	0.1941	0.1913	0.2376
1978	1	1	1	0	0.0621	0.0829	0.1087	0.1337	0.1541	0.176	0.1886	0.2058	0.2376
1979	1	1	1	0	0.0658	0.0838	0.1176	0.1456	0.1689	0.1834	0.2032	0.2238	0.208
1980	1	1	1	0	0.0625	0.0816	0.1057	0.1392	0.1642	0.1865	0.1941	0.2168	0.2228
1981	1	1	1	0	0.061	0.0899	0.1093	0.1381	0.1563	0.1768	0.1796	0.1852	0.2228
1982	1	1	1	0	0.0725	0.0924	0.1158	0.1322	0.1502	0.1634	0.1803	0.1826	0.1838
1983	1	1	1	0	0.0597	0.0972	0.1224	0.1433	0.1607	0.1713	0.18	0.202	0.1922
1984	1	1	1	0	0.0687	0.1005	0.1302	0.1518	0.1659	0.1759	0.1772	0.1951	0.222
1985	1	1	1	0	0.0697	0.1034	0.1331	0.1667	0.183	0.1836	0.2128	0.193	0.1605
1986	1	1	1	0	0.0678	0.1023	0.1331	0.1612	0.18	0.1922	0.1978	0.2052	0.2217
1987	1	1	1	0	0.0698	0.1019	0.1354	0.1599	0.1786	0.2001	0.2044	0.2042	0.1993
1988	1	1	1	0	0.073	0.1031	0.1257	0.1571	0.1738	0.1878	0.2074	0.1987	0.2084
1989	1	1	1	0	0.0632	0.0972	0.1257	0.1449	0.165	0.1745	0.1908	0.1933	0.212
1990	1	1	1	0	0.0638	0.1007	0.1289	0.1523	0.1697	0.1837	0.1935	0.2132	0.223
1991	1	1	1	0	0.0667	0.0955	0.125	0.1425	0.1604	0.1726	0.1833	0.1951	0.193
1992	1	1	1	0	0.0701	0.1012	0.1255	0.1488	0.1628	0.1759	0.1874	0.1926	0.2025
1993	1	1	1	0	0.0709	0.0983	0.1222	0.1413	0.1595	0.1695	0.1784	0.1873	0.1977
1994	1	1	1	0	0.0622	0.0929	0.1178	0.1342	0.1488	0.1589	0.1617	0.1697	0.1702
1995	1	1	1	0	0.071	0.0982	0.1243	0.146	0.1611	0.1756	0.1826	0.1903	0.1878
1996	1	1	1	0	0.071	0.0835	0.115	0.1361	0.1538	0.1636	0.1754	0.1768	0.1842
1997	1	1	1	0	0.064	0.0912	0.104	0.1308	0.152	0.1634	0.1754	0.1728	0.179
1998	1	1	1	0	0.0596	0.0795	0.1035	0.113	0.1311	0.1431	0.1481	0.155	0.156
1999	1	1	1	0	0.0537	0.0831	0.0984	0.1193	0.1256	0.1445	0.1533	0.1641	0.1594
2000	1	1	1	0	0.0579	0.0836	0.106	0.1268	0.144	0.1536	0.1577	0.1589	0.185
2001	1	1	1	0	0.0658	0.0854	0.0986	0.1178	0.128	0.1458	0.1591	0.1343	0.1983
2002	1	1	1	0	0.0652	0.0828	0.0979	0.1146	0.1417	0.1499	0.1607	0.1534	0.218
2003	1	1	1	0	0.0713	0.0945	0.1045	0.1209	0.1348	0.1529	0.1682	0.1634	0.192
2004	1	1	1	0	0.0632	0.0787	0.0976	0.105	0.1168	0.1134	0.1462	0.1548	0.1905
2005	1	1	1	0	0.0551	0.0742	0.0843	0.1013	0.1143	0.1205	0.1455	0.153	0.159
2006	1	1	1	0	0.0556	0.0685	0.0872	0.096	0.1134	0.0995	0.1559	0.1518	0.1916
2007	1	1	1	0	0.067	0.0694	0.0737	0.0794	0.103	0.1272	0.1553	0.1553	0.1902
2008	1	1	1	0	0.0599	0.0588	0.0834	0.0972	0.127	0.1155	0.1542	0.1557	0.1847
2009	1	1	1	0	0.0465	0.0767	0.0799	0.1052	0.1124	0.127	0.1514	0.1541	0.1832
2010	1	1	1	0	0.0418	0.0721	0.0854	0.0922	0.1048	0.1147	0.106	0.154	0.1817
2011	1	1	1	0	0.0495	0.0661	0.0768	0.0947	0.1091	0.121	0.1446	0.1542	0.1863
2012	1	1	1	0	0.0484	0.0736	0.0894	0.1007	0.1083	0.14	0.1223	0.1546	0.1852
2013	1	1	1	0	0.0504	0.079	0.0909	0.1074	0.1405	0.115	0.138	0.1545	0.1842
2014	1	1	1	0	0.059	0.0774	0.087	0.107	0.1445	0.1235	0.1325	0.164	0.1841
2015	1	1	1	0	0.0637	0.074	0.0843	0.0958	0.1072	0.1037	0.1043	0.1563	0.1843
2016	1	1	1	0	0.0632	0.0789	0.0828	0.0935	0.0955	0.12	0.127	0.146	0.1848
2017	1	1	1	0	0.0653	0.0807	0.0916	0.0983	0.1041	0.1147	0.1248	0.128	0.1845
2018	1	1	1	0	0.0626	0.0859	0.0994	0.1137	0.1192	0.1252	0.134	0.145	0.1844
2019	1	1	1	0	0.0634	0.0767	0.0969	0.1036	0.131	0.1205	0.1177	0.159	0.1844
#
##### Annual mean weight (not used) #####
1 	# Number of annual mean weight tables
0 	# Number of observations per table
#
##### Marker for end of data file #####
999 	# End of file
