################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	Haida Gwaii
# Section(s):	21 and 25
# Created:	2019-11-25
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2019	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0	1	0	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
64	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
1959	7.055	4	1	1	0	1	1
1960	4.316	4	1	1	0	1	1
1961	7.805	4	1	1	0	1	1
1962	5.146	4	1	1	0	1	1
1963	7.285	4	1	1	0	1	1
1964	3.195	4	1	1	0	1	1
1965	0.939	4	1	1	0	1	1
1966	2.787	4	1	1	0	1	1
1967	0.62	4	1	1	0	1	1
1968	0.814	4	1	1	0	1	1
1969	2.075	4	1	1	0	1	1
1970	2.787	4	1	1	0	1	1
1971	5.224	4	1	1	0	1	1
1972	1.961	4	1	1	0	1	1
1973	3.426	4	1	1	0	1	1
1974	10.908	4	1	1	0	1	1
1975	5.197	4	1	1	0	1	1
1976	10.396	4	1	1	0	1	1
1977	12.645	4	1	1	0	1	1
1978	14.093	4	1	1	0	1	1
1979	10.31	4	1	1	0	1	1
1980	28.931	4	1	1	0	1	1
1981	14.976	4	1	1	0	1	1
1982	19.667	4	1	1	0	1	1
1983	15.396	4	1	1	0	1	1
1984	18.112	4	1	1	0	1	1
1985	14.901	4	1	1	0	1	1
1986	3.346	4	1	1	0	1	1
1987	8.701	4	1	1	0	1	1
1988	9.078	5	1	1	0	1.1666	1
1989	15.144	5	1	1	0	1.1666	1
1990	16.954	5	1	1	0	1.1666	1
1991	12.562	5	1	1	0	1.1666	1
1992	7.051	5	1	1	0	1.1666	1
1993	4.774	5	1	1	0	1.1666	1
1994	9.78	5	1	1	0	1.1666	1
1995	4.543	5	1	1	0	1.1666	1
1996	6.551	5	1	1	0	1.1666	1
1997	9.484	5	1	1	0	1.1666	1
1998	16.721	5	1	1	0	1.1666	1
1999	8.09	5	1	1	0	1.1666	1
2000	4.598	5	1	1	0	1.1666	1
2001	12.269	5	1	1	0	1.1666	1
2002	1.294	5	1	1	0	1.1666	1
2003	6.219	5	1	1	0	1.1666	1
2004	3.274	5	1	1	0	1.1666	1
2005	2.319	5	1	1	0	1.1666	1
2006	2.974	5	1	1	0	1.1666	1
2007	7.782	5	1	1	0	1.1666	1
2008	3.166	5	1	1	0	1.1666	1
2009	8.753	5	1	1	0	1.1666	1
2010	4.485	5	1	1	0	1.1666	1
2011	5.655	5	1	1	0	1.1666	1
2012	7.984	5	1	1	0	1.1666	1
2013	13.838	5	1	1	0	1.1666	1
2014	9.852	5	1	1	0	1.1666	1
2015	12.31	5	1	1	0	1.1666	1
2016	6.525	5	1	1	0	1.1666	1
2017	2.962	5	1	1	0	1.1666	1
2018	3.516	5	1	1	0	1.1666	1
2019	10.682	5	1	1	0	1.1666	1
#
##### Number-at-age #####
3			# Number of gears
10	48	13	# Number of years per gear
2	2	2	# Youngest age
10	10	10	# Plus group
100	100	100	# Effective sample size
1	1	1	# Composition (1=age, 2=length)
# Year	Gear	Area	Group	Sex	2	3	4	5	6	7	8	9	10
1951	1	1	1	0	1	226	781	226	170	62	9	1	0
1952	1	1	1	0	66	382	688	454	80	24	2	0	0
1956	1	1	1	0	2	216	130	838	113	37	10	0	2
1957	1	1	1	0	528	697	499	315	912	82	14	3	0
1959	1	1	1	0	1	60	27	7	0	0	0	0	0
1962	1	1	1	0	13	161	177	41	28	7	1	0	0
1963	1	1	1	0	3	402	218	146	17	16	0	1	1
1964	1	1	1	0	5	81	314	94	28	6	0	0	0
1965	1	1	1	0	17	811	110	37	19	9	2	0	0
1984	1	1	1	0	11	68	4	8	16	73	4	1	1
1972	2	1	1	0	22	175	216	21	21	7	2	1	0
1973	2	1	1	0	2	262	138	230	48	17	5	0	0
1974	2	1	1	0	2	416	163	67	37	8	3	1	0
1975	2	1	1	0	4	1007	1374	410	160	52	14	5	0
1976	2	1	1	0	7	77	1388	881	199	59	17	1	0
1977	2	1	1	0	0	315	188	786	412	101	18	4	0
1978	2	1	1	0	1	194	134	87	259	96	13	0	0
1979	2	1	1	0	57	45	322	191	217	154	29	4	1
1980	2	1	1	0	6	1700	86	101	51	37	14	2	0
1981	2	1	1	0	3	99	2961	225	134	87	31	8	5
1982	2	1	1	0	1	33	47	1497	39	27	19	12	2
1983	2	1	1	0	59	65	46	85	1172	57	21	11	2
1984	2	1	1	0	64	1066	122	77	297	1297	33	10	5
1985	2	1	1	0	9	421	982	113	116	350	1093	13	2
1986	2	1	1	0	9	101	988	1791	170	143	353	893	14
1987	2	1	1	0	53	288	150	760	1154	115	130	175	186
1988	2	1	1	0	28	488	69	43	138	199	14	20	54
1989	2	1	1	0	19	512	969	76	49	120	92	21	34
1990	2	1	1	0	6	184	675	1095	125	69	162	81	28
1991	2	1	1	0	206	122	296	900	1052	107	57	125	55
1992	2	1	1	0	3	560	44	59	129	119	13	10	21
1993	2	1	1	0	2	81	2048	126	144	309	301	28	10
1994	2	1	1	0	34	11	19	286	33	25	49	13	3
1995	2	1	1	0	93	62	5	12	86	19	9	5	3
1996	2	1	1	0	136	288	62	13	22	94	8	7	3
1997	2	1	1	0	361	266	365	58	9	41	51	7	4
1998	2	1	1	0	6	1283	641	254	64	12	31	27	9
1999	2	1	1	0	74	50	1444	396	177	60	15	10	13
2000	2	1	1	0	171	388	81	1227	169	93	9	10	4
2001	2	1	1	0	112	227	153	32	203	31	10	3	0
2002	2	1	1	0	854	698	723	358	87	360	41	13	2
2003	2	1	1	0	2	1133	181	97	49	17	36	5	2
2004	2	1	1	0	312	33	387	58	23	16	10	5	1
2005	2	1	1	0	17	606	205	374	51	31	16	6	3
2006	2	1	1	0	75	62	253	56	85	16	2	0	2
2007	2	1	1	0	5	212	63	95	27	48	7	1	0
2008	2	1	1	0	84	60	532	59	70	15	13	0	0
2009	2	1	1	0	1	645	76	222	20	29	4	5	1
2010	2	1	1	0	19	35	444	34	102	5	7	1	0
2011	2	1	1	0	5	466	80	362	64	100	9	4	0
2012	2	1	1	0	139	73	242	26	133	11	17	1	2
2013	2	1	1	0	0	585	57	73	8	16	2	0	0
2014	2	1	1	0	10	31	579	63	48	8	19	2	0
2015	2	1	1	0	15	141	31	443	42	54	11	9	3
2016	2	1	1	0	75	73	77	26	170	20	9	1	1
2017	2	1	1	0	58	194	55	66	30	121	25	5	5
2018	2	1	1	0	46	410	246	100	64	73	71	4	2
2019	2	1	1	0	14	369	235	63	19	16	8	1	0
1974	3	1	1	0	0	1	27	21	18	4	0	0	1
1975	3	1	1	0	0	0	9	16	12	2	1	0	0
1979	3	1	1	0	0	0	50	50	50	40	7	1	1
1980	3	1	1	0	0	34	30	306	155	185	38	8	0
1981	3	1	1	0	0	2	568	71	73	39	17	5	0
1982	3	1	1	0	0	1	18	464	18	14	6	4	1
1983	3	1	1	0	0	0	10	21	665	23	19	5	4
1984	3	1	1	0	0	11	5	18	35	313	7	1	1
1985	3	1	1	0	0	0	22	3	6	16	96	1	0
1986	3	1	1	0	0	0	48	205	22	21	42	65	2
1990	3	1	1	0	0	2	36	189	44	37	74	37	14
1991	3	1	1	0	0	0	10	85	175	36	27	41	20
1999	3	1	1	0	0	4	185	137	175	60	16	8	16
#
##### Weight-at-age (kg) #####
1	# Number of weight-at-age tables
69	# Number of years
# Year	Gear	Area	Group	Sex	2	3	4	5	6	7	8	9	10
1951	1	1	1	0	0.058	0.0673	0.0849	0.0986	0.114	0.1257	0.1419	0.096	0.1585
1952	1	1	1	0	0.0398	0.0778	0.1009	0.1162	0.1353	0.1522	0.143	0.096	0.1585
1953	1	1	1	0	0.0489	0.0726	0.0929	0.1074	0.1246	0.139	0.1424	0.096	0.1585
1954	1	1	1	0	0.0489	0.0726	0.0929	0.1074	0.1246	0.139	0.1424	0.096	0.1585
1955	1	1	1	0	0.0489	0.0726	0.0929	0.1074	0.1246	0.139	0.1424	0.096	0.1585
1956	1	1	1	0	0.043	0.0878	0.1099	0.1211	0.1474	0.1604	0.1663	0.096	0.1585
1957	1	1	1	0	0.0418	0.0872	0.1198	0.1359	0.1436	0.1646	0.1663	0.1803	0.1585
1958	1	1	1	0	0.0463	0.0786	0.1017	0.1158	0.133	0.1484	0.152	0.1129	0.1585
1959	1	1	1	0	0.062	0.088	0.0984	0.1171	0.1347	0.1503	0.1539	0.1162	0.1585
1960	1	1	1	0	0.0484	0.0828	0.1045	0.1195	0.1367	0.1525	0.1562	0.1203	0.1585
1961	1	1	1	0	0.0483	0.0849	0.1068	0.1219	0.1391	0.1553	0.1589	0.1251	0.1585
1962	1	1	1	0	0.0534	0.0914	0.1156	0.1363	0.1572	0.1503	0.168	0.131	0.1585
1963	1	1	1	0	0.058	0.0879	0.1185	0.1436	0.1659	0.1619	0.1578	0.173	0.184
1964	1	1	1	0	0.057	0.0917	0.1099	0.136	0.162	0.1827	0.159	0.1331	0.1636
1965	1	1	1	0	0.0565	0.0966	0.1137	0.1448	0.1862	0.1824	0.2565	0.1365	0.1646
1966	1	1	1	0	0.0546	0.0905	0.1129	0.1365	0.1621	0.1665	0.18	0.1398	0.1658
1967	1	1	1	0	0.0559	0.0916	0.1141	0.1394	0.1667	0.1688	0.1843	0.1427	0.1673
1968	1	1	1	0	0.0564	0.0917	0.1138	0.1401	0.1686	0.1724	0.1875	0.145	0.1691
1969	1	1	1	0	0.0561	0.0924	0.1129	0.1394	0.1691	0.1746	0.1935	0.1394	0.1661
1970	1	1	1	0	0.0559	0.0926	0.1135	0.14	0.1705	0.1729	0.2004	0.1407	0.1666
1971	1	1	1	0	0.0558	0.0917	0.1134	0.1391	0.1674	0.171	0.1891	0.1415	0.167
1972	1	1	1	0	0.0619	0.1075	0.1539	0.1845	0.2217	0.2467	0.259	0.246	0.1672
1973	1	1	1	0	0.0705	0.1026	0.1487	0.1816	0.2214	0.2358	0.2454	0.1625	0.1672
1974	1	1	1	0	0.1095	0.0883	0.1267	0.1629	0.2028	0.2229	0.2423	0.254	0.1668
1975	1	1	1	0	0.0528	0.086	0.1165	0.1487	0.1851	0.2026	0.1978	0.2302	0.167
1976	1	1	1	0	0.0534	0.0993	0.1226	0.1466	0.1776	0.205	0.2349	0.225	0.167
1977	1	1	1	0	0.0696	0.1018	0.1325	0.1471	0.1672	0.1904	0.2133	0.2268	0.167
1978	1	1	1	0	0.075	0.0947	0.1295	0.152	0.168	0.1807	0.1947	0.2197	0.167
1979	1	1	1	0	0.0593	0.1044	0.1305	0.1605	0.1729	0.1889	0.2081	0.2028	0.222
1980	1	1	1	0	0.0532	0.0838	0.1016	0.1421	0.1693	0.1785	0.1858	0.1955	0.178
1981	1	1	1	0	0.0627	0.0991	0.1161	0.1366	0.1604	0.1768	0.1776	0.2011	0.216
1982	1	1	1	0	0.078	0.1063	0.1197	0.1274	0.1377	0.1609	0.1673	0.1839	0.2105
1983	1	1	1	0	0.0678	0.1002	0.1244	0.142	0.155	0.1648	0.1756	0.1985	0.208
1984	1	1	1	0	0.0627	0.0937	0.1162	0.1335	0.1384	0.1513	0.1713	0.1809	0.1953
1985	1	1	1	0	0.0698	0.103	0.1292	0.1485	0.1639	0.1669	0.1862	0.2035	0.208
1986	1	1	1	0	0.0743	0.1178	0.141	0.1592	0.1712	0.1795	0.188	0.2022	0.2216
1987	1	1	1	0	0.0664	0.1072	0.1318	0.1513	0.1682	0.1751	0.1805	0.1893	0.2001
1988	1	1	1	0	0.0612	0.0875	0.1167	0.142	0.1645	0.181	0.1849	0.1958	0.2028
1989	1	1	1	0	0.0609	0.0926	0.1145	0.1376	0.1601	0.1768	0.1926	0.1939	0.2066
1990	1	1	1	0	0.0647	0.0905	0.1135	0.1299	0.1453	0.1647	0.184	0.1919	0.1949
1991	1	1	1	0	0.0607	0.0832	0.1105	0.127	0.1388	0.1536	0.1632	0.1763	0.1801
1992	1	1	1	0	0.0557	0.087	0.0991	0.1213	0.1349	0.1492	0.1463	0.167	0.1923
1993	1	1	1	0	0.078	0.0971	0.1145	0.1243	0.1374	0.146	0.155	0.1764	0.1783
1994	1	1	1	0	0.0693	0.0882	0.1158	0.1235	0.1285	0.1438	0.142	0.155	0.172
1995	1	1	1	0	0.0599	0.0893	0.1046	0.1322	0.1402	0.1418	0.156	0.1518	0.168
1996	1	1	1	0	0.0533	0.0889	0.11	0.1162	0.1395	0.152	0.1465	0.1574	0.1433
1997	1	1	1	0	0.0547	0.0829	0.103	0.1184	0.14	0.1478	0.153	0.1517	0.1722
1998	1	1	1	0	0.0587	0.0798	0.0834	0.1079	0.1196	0.1272	0.1382	0.1419	0.1486
1999	1	1	1	0	0.0582	0.088	0.1033	0.1108	0.1278	0.1368	0.1449	0.1413	0.1685
2000	1	1	1	0	0.0552	0.0809	0.0966	0.1147	0.1289	0.1365	0.1443	0.1428	0.1618
2001	1	1	1	0	0.0421	0.0806	0.0982	0.1103	0.1275	0.1423	0.1524	0.167	0.1589
2002	1	1	1	0	0.0539	0.0752	0.0994	0.1161	0.1271	0.1366	0.1473	0.1569	0.1555
2003	1	1	1	0	0.0485	0.0819	0.095	0.1185	0.1371	0.1454	0.1616	0.1544	0.1885
2004	1	1	1	0	0.0502	0.0563	0.1017	0.1108	0.134	0.1301	0.1448	0.166	0.157
2005	1	1	1	0	0.0548	0.0789	0.0824	0.1147	0.122	0.1438	0.1468	0.1618	0.1463
2006	1	1	1	0	0.0517	0.0675	0.0858	0.0956	0.1107	0.1171	0.141	0.1612	0.141
2007	1	1	1	0	0.063	0.0767	0.0797	0.1089	0.1147	0.1336	0.1316	0.105	0.1577
2008	1	1	1	0	0.0483	0.0684	0.0892	0.0938	0.1128	0.1123	0.1365	0.1497	0.1581
2009	1	1	1	0	0.039	0.0672	0.0848	0.102	0.0994	0.118	0.1148	0.1342	0.144
2010	1	1	1	0	0.0489	0.0689	0.0892	0.1069	0.1224	0.1122	0.1506	0.13	0.1494
2011	1	1	1	0	0.048	0.0681	0.0797	0.0985	0.1115	0.1206	0.1287	0.1288	0.15
2012	1	1	1	0	0.0495	0.0664	0.0867	0.1	0.1137	0.1242	0.1204	0.157	0.1205
2013	1	1	1	0	0.0467	0.0764	0.0837	0.1057	0.1106	0.115	0.129	0.1399	0.1444
2014	1	1	1	0	0.0556	0.0751	0.0986	0.1022	0.1167	0.1256	0.1265	0.151	0.1417
2015	1	1	1	0	0.0593	0.0823	0.0888	0.1084	0.1105	0.1126	0.1231	0.1373	0.143
2016	1	1	1	0	0.0543	0.0758	0.0941	0.1041	0.1151	0.1212	0.1173	0.124	0.148
2017	1	1	1	0	0.0542	0.083	0.0974	0.1187	0.1192	0.128	0.1288	0.1308	0.1364
2018	1	1	1	0	0.0542	0.0778	0.0924	0.1033	0.1171	0.1281	0.129	0.1205	0.132
2019	1	1	1	0	0.0586	0.0721	0.0825	0.0996	0.1103	0.1186	0.1216	0.147	0.1402
#
##### Annual mean weight (not used) #####
1 	# Number of annual mean weight tables
0 	# Number of observations per table
#
##### Marker for end of data file #####
999 	# End of file
